SYMBOL,NSE symbol,Todays Rate,Low,Open,High,Output,Volume,94642035,15268170215,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),362869,INE415G01027
CANBK,NSE:CANBK,399.05,397.1,399.4,404.95,Avoid,4411488,11554644,28145173638,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),203161,INE002A01018
HDFCBANK,NSE:HDFCBANK,1505.9,1501.55,1513,1513,Avoid,9665726,11541409,3244837038,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),63669,INE256A01028
MANAPPURAM,NSE:MANAPPURAM,154.4,151.7,155.3,157.3,Avoid,12069141,11340286,2641840767,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),45546,INE976G01028
EASEMYTRIP,NSE:EASEMYTRIP,39.9,39.7,41.25,41.3,Avoid,27670244,11270995,1050015015,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),21656,INE084A01016
NYKAA,NSE:NYKAA,172.85,167.7,168,177,Avoid,38982243,10954186,10145887038,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),199802,INE382Z01011
ANDREWYU,NSE:ANDREWYU,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10918483,946783651.7,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),39850,INE063P01018
NATIONALUM,NSE:NATIONALUM,92.7,92.4,93,94.35,Avoid,12966464,10899552,113742587.5,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),10375,INE043A01012
FEDERALBNK,NSE:FEDERALBNK,147.25,146.75,148,148.75,Avoid,9425725,10389774,1911546524,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),57437,INE208A01029
PSB,NSE:PSB,42.25,41.8,42.4,42.75,Avoid,1241156,10353270,859533487.5,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),23422,INE069I01010
UPL,NSE:UPL,557.25,554.8,561.75,563.95,Avoid,1079422,10353230,140850917.2,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),6014,INE966H01019
POWERGRID,NSE:POWERGRID,209.5,208.85,210.1,211.2,Avoid,11156900,10306915,136193690.1,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),8064,INE964H01014
SAKHTISUG,NSE:SAKHTISUG,30.7,30.45,30.6,31.3,Avoid,764008,9947633,763788924.1,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),23107,INE548A01028
LICHSGFIN,NSE:LICHSGFIN,464.5,461.75,467,469.75,Avoid,738396,9939517,4407778234,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),138338,INE154A01025
AVANTIFEED,NSE:AVANTIFEED,391.05,388.95,390.8,397,Avoid,91205,9936381,10568179.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1707,INE632X01030
TV18BRDCST,NSE:TV18BRDCST,43.6,43.4,44.15,44.8,Avoid,5534515,9737214,1789122586,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),57434,INE213A01029
BALMLAWRIE,NSE:BALMLAWRIE,156.9,154.9,159.45,159.55,Avoid,346717,9548582,438736916.2,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),1407,INF789F1AUV1
ICICIBANK,NSE:ICICIBANK,920.95,917.5,922,926.75,Avoid,10562301,9368888,407054170,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),26014,INE0O3901029
TATAPOWER,NSE:TATAPOWER,260.75,260.1,263.85,264.4,Avoid,4859705,9181586,5005654120,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),139055,INE320J01015
COALINDIA,NSE:COALINDIA,348.25,343.95,348,352.4,Avoid,19032608,8562672,2013110593,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),50134,INE0DD101019
NCC,NSE:NCC,171.2,162.25,162.4,172.45,Avoid,11948886,8480182,540359896.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),16895,INE776C01039
SUVENPHAR,NSE:SUVENPHAR,594.4,577,580,595,Avoid,393959,8248141,7835733.95,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),616,INE220J01025
TRIVENI,NSE:TRIVENI,366.85,361.65,363,369.9,Avoid,588113,8074047,1341740424,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),35389,INE531E01026
GIPCL,NSE:GIPCL,148,147.65,149,150.35,Avoid,359245,8016696,4312937959,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),124789,INE271C01023
VISESHINFO,NSE:VISESHINFO,0.45,0.4,0.45,0.45,Best for Sell,1300097,7882819,285223304.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),11514,INE754A01055
WIPRO,NSE:WIPRO,400.15,393.2,393.2,401.1,Best for Buy,4305248,7821348,3659565492,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),109678,INE178A01016
AXISBANK,NSE:AXISBANK,988,980.35,981,994.75,Avoid,8215656,7520898,363011960.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),13632,INE735W01017
VEDL,NSE:VEDL,239.3,238.05,239.2,241.35,Avoid,4219360,7285573,4907245085,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),142167,INE671H01015
JYOTISTRUC,NSE:JYOTISTRUC,15.2,15.2,15.2,15.2,Best for Buy,185398,7260594,2466813432,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),46030,INE476A01014
ADANIPOWER,NSE:ADANIPOWER,388,384,387.3,393.4,Avoid,13657211,7226632,214448622.6,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),12556,INE560K01014
RANASUG,NSE:RANASUG,24.45,24.15,24.4,24.7,Avoid,1280275,7180564,54903995.15,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),6183,INE937C01029
GMRINFRA,NSE:GMRINFRA,57.8,57.25,59,59,Avoid,7744798,7175980,922713342.1,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),25079,INE043D01016
NTPC,NSE:NTPC,250.8,250.3,251,255.4,Avoid,6283832,7082008,694248085,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),37083,INE148A01019
ZENSARTECH,NSE:ZENSARTECH,536,521,522.5,550.8,Avoid,3179570,7047730,131628191,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),7358,INE982F01036
ASHOKLEY,NSE:ASHOKLEY,172.45,171,175,175,Avoid,8214342,7027378,1024570174,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),28973,INE522D01027
ZEEMEDIA,NSE:ZEEMEDIA,15.7,15.3,15.95,16.1,Avoid,10260081,7024965,671666616.5,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),31788,INE517B01013
EXCEL,NSE:EXCEL,0.35,0.3,0.3,0.35,Best for Buy,2545258,6981174,402737380.1,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),17534,INE0NNS01018
HFCL,NSE:HFCL,68.05,67.5,69.1,69.2,Avoid,3494673,6890011,693868187.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),23552,INE139A01034
EIDPARRY,NSE:EIDPARRY,494.05,491.85,496.1,500.15,Avoid,199755,6836165,1628587154,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),66138,INE205A01025
DHAMPURSUG,NSE:DHAMPURSUG,259.5,254.6,255.9,261,Avoid,465619,6805782,310306116.8,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),2101,INF109KC15I8
HINDCOPPER,NSE:HINDCOPPER,156.95,156.5,158.8,161.2,Avoid,4188790,6658869,613419895.9,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),20879,INE780C01023
RBLBANK,NSE:RBLBANK,229.45,226.75,235.85,237.75,Avoid,13146557,6636122,1543709040,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),39931,INE614B01018
MOTHERSON,NSE:MOTHERSON,89,88.6,90.5,90.55,Avoid,9226537,6587717,329325630,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),16541,INE551W01018
ADANIPORTS,NSE:ADANIPORTS,802.7,801.1,810.05,816,Avoid,3227659,6570919,2020527201,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),62812,INE278Y01022
PEL,NSE:PEL,930.45,930,940,943.6,Avoid,459306,6494964,647860976.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),26983,INE775A01035
SUBEXLTD,NSE:SUBEXLTD,31.95,31.8,32.9,33.05,Avoid,2987661,6439351,6304615744,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),139828,INE238A01034
MRPL,NSE:MRPL,115.45,114.1,117.8,119.4,Avoid,3995854,6429157,90234942.4,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),11078,INE999K01014
TIMETECHNO,NSE:TIMETECHNO,176.6,168.5,171.6,177,Avoid,3115028,6165904,854114791.3,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),35852,INE517F01014
TATAMOTORS,NSE:TATAMOTORS,675,670.7,682,686.75,Avoid,8324354,6159456,409359530.2,Fri Sep 08 2023 05:30:00 GMT+0530 (India Standard Time),29831,INE0FS801015
